-60	-100	-100	-100	-100	-100	-76	-62	-65	-100	-100	-100	-100	-70	-48	-100	-100	
-59	-100	-100	-100	-100	-100	-76	-57	-63	-100	-100	-100	-100	-71	-49	-100	-100	
-60	-100	-100	-100	-100	-100	-75	-60	-65	-100	-100	-100	-100	-72	-48	-100	-100	
-63	-100	-100	-100	-100	-100	-76	-59	-64	-100	-100	-100	-100	-70	-47	-100	-100	
-63	-100	-100	-100	-100	-100	-75	-59	-66	-100	-100	-100	-100	-72	-48	-73	-100	
-60	-100	-100	-100	-100	-100	-74	-61	-63	-100	-100	-100	-100	-70	-48	-73	-100	
-62	-100	-100	-100	-92	-100	-75	-59	-64	-100	-100	-100	-100	-70	-48	-100	-100	
-60	-100	-100	-100	-92	-100	-77	-58	-65	-100	-100	-100	-100	-73	-48	-100	-100	
-59	-100	-100	-100	-92	-100	-76	-57	-66	-100	-100	-100	-100	-70	-49	-100	-100	
-61	-100	-100	-100	-92	-100	-76	-57	-65	-100	-100	-100	-100	-72	-48	-100	-100	
-61	-100	-100	-100	-91	-100	-77	-61	-64	-100	-100	-100	-100	-67	-50	-93	-100	
-61	-100	-100	-66	-91	-100	-78	-56	-63	-100	-100	-100	-100	-74	-48	-100	-100	
-61	-100	-100	-100	-91	-100	-76	-57	-60	-100	-100	-100	-100	-71	-46	-100	-100	
-56	-100	-100	-63	-91	-100	-74	-62	-65	-100	-100	-100	-100	-72	-48	-100	-100	
-47	-100	-100	-63	-100	-100	-74	-59	-61	-100	-100	-100	-100	-74	-46	-100	-100	
-60	-100	-100	-63	-100	-100	-79	-60	-57	-100	-100	-100	-100	-70	-42	-100	-100	
-50	-100	-100	-63	-100	-100	-76	-61	-57	-100	-100	-100	-100	-72	-46	-100	-100	
-53	-100	-100	-100	-100	-100	-71	-69	-62	-100	-100	-100	-100	-72	-48	-100	-100	
-54	-100	-100	-100	-100	-100	-73	-68	-58	-100	-100	-100	-100	-67	-47	-100	-100	
-53	-100	-100	-100	-100	-100	-76	-65	-65	-100	-100	-100	-100	-73	-47	-100	-100	
-51	-100	-100	-100	-100	-100	-75	-63	-64	-100	-100	-100	-100	-71	-47	-100	-100	
-51	-100	-100	-100	-100	-100	-71	-65	-62	-100	-100	-100	-100	-71	-45	-100	-100	
-50	-100	-100	-100	-100	-100	-73	-65	-62	-100	-100	-100	-100	-74	-47	-100	-100	
-61	-100	-100	-100	-100	-100	-77	-69	-72	-100	-100	-100	-100	-77	-47	-100	-100	
-61	-100	-100	-100	-100	-100	-81	-55	-67	-100	-100	-100	-100	-75	-45	-100	-100	
-58	-100	-100	-100	-100	-100	-80	-54	-66	-100	-100	-100	-100	-75	-45	-100	-100	
-60	-100	-100	-100	-100	-100	-79	-54	-65	-100	-100	-100	-100	-73	-45	-100	-100	
-59	-100	-100	-100	-100	-100	-81	-54	-65	-100	-100	-100	-100	-73	-45	-100	-100	
-61	-100	-100	-100	-100	-100	-82	-56	-65	-100	-100	-100	-100	-73	-45	-100	-100	
-60	-100	-100	-100	-100	-100	-83	-55	-64	-100	-100	-100	-100	-76	-45	-100	-100	
-57	-100	-100	-65	-100	-100	-79	-54	-64	-100	-100	-100	-100	-73	-44	-100	-100	
-58	-100	-100	-65	-100	-100	-83	-53	-64	-100	-100	-100	-100	-74	-44	-100	-100	
-57	-100	-100	-100	-100	-100	-79	-53	-64	-100	-100	-100	-100	-73	-45	-100	-100	
-59	-100	-100	-100	-100	-100	-82	-52	-64	-100	-100	-100	-100	-73	-44	-100	-100	
-57	-100	-100	-100	-100	-100	-81	-54	-64	-100	-100	-100	-100	-73	-44	-100	-100	
-60	-100	-100	-100	-95	-100	-78	-55	-64	-100	-100	-100	-100	-74	-44	-100	-100	
-62	-100	-100	-100	-95	-100	-76	-56	-60	-100	-100	-100	-100	-72	-49	-100	-100	
-59	-100	-100	-100	-95	-100	-75	-68	-60	-100	-100	-100	-100	-71	-45	-100	-100	
-57	-100	-100	-100	-100	-100	-77	-62	-59	-100	-100	-100	-100	-76	-46	-100	-100	
-57	-100	-100	-100	-100	-100	-73	-62	-57	-100	-100	-100	-100	-78	-52	-100	-100	
-56	-100	-100	-100	-100	-100	-77	-59	-59	-100	-100	-100	-100	-78	-50	-71	-100	
-56	-100	-100	-100	-100	-100	-77	-60	-59	-100	-100	-100	-100	-74	-53	-100	-100	
-60	-100	-100	-100	-100	-100	-75	-58	-59	-100	-100	-100	-100	-73	-46	-100	-100	
-54	-100	-100	-100	-100	-100	-82	-58	-57	-100	-100	-100	-100	-75	-50	-100	-100	
-61	-100	-100	-100	-91	-100	-78	-57	-57	-100	-100	-100	-100	-74	-45	-100	-100	
-61	-100	-100	-100	-91	-100	-77	-57	-56	-100	-100	-100	-100	-74	-45	-100	-100	
